플랜트,위치,설비,고장 모드,고장 원인,고장 조치사항,작동시간,보수시간,상태플래그,Column_10,Column_11,Column_12,Column_13,Column_14,Column_15,Column_16,Column_17,Column_18,Column_19,Column_20,Column_21,Column_22-T,Column_23,Column_24,Column_25,Column_26-T,Column_27,Column_28
인천지역본부,영종GS,000000000013002059,,,,18888,*,C,1000,0.9936897698143625,0.9928121283201378,0.9944605501358835,0.006310230185637478,0.005539449864116475,0.007187871679862234,157972.29686076374,138622.63929238,180022.87867878622,0.000006290278672659902,0.00000633022384223099,결빙(Icing),3.6199095022624435,0.00000022914837437940235,8,C,73.05389221556887,610
전북지역본부,보령GS,000000000013002176,외부 LEAK,이완/밀봉/고정 불량,밀봉/조임 작업,64905,126,F,5000,0.9688445343686577,0.9645735962711915,0.9726079106220193,0.031155465631342305,0.027392089377980655,0.03542640372880845,,,,0.0000061330027708756585,0.00000633022384223099,경보(Alarm)/차압발생,1.8099547511312217,0.00000011457418718970118,4,F,26.94610778443114,225
전북지역본부,보령GS,000000000013002176,,,,25104,*,C,10000,0.9386597317760211,0.9304022226235396,0.94596614780453,0.06134026822397887,0.05403385219546997,0.06959777737646045,,,,0.000005941926213830715,0.00000633022384223099,고착 (Stick),1.8099547511312217,0.00000011457418718970118,4,,,
전북지역본부,전주GS,000000000013002182,,,,30288,*,C,50000,0.7286868559695684,0.6971940883861657,0.7574918689908169,0.2713131440304316,0.24250813100918311,0.3028059116138343,,,,0.000004612750909178903,0.0000063302238422309925,균열/파손/소손/절단,2.7149321266968327,0.0000001718612807845518,6,,,
전북지역본부,김제GS,000000000013002183,,,,92664,*,C,100000,0.5309845340628144,0.48607959688061664,0.5737939315872008,0.46901546593718557,0.4262060684127992,0.5139204031193834,,,,0.0000033612509573803442,0.000006330223842230996,내부 LEAK,8.597285067873303,0.0000005442273891510806,19,,,
전북지역본부,김제GS,000000000013002184,,,,36384,*,C,,,,,,,,,,,,,변형/변색/부식 ,1.3574660633484164,0.0000000859306403922759,3,,,
경기지역본부,안중GS,000000000013002190,오동작/계기불량/작동불량,Unbalance,교정/조정/재설정 작업,7360,24,F,,,,,,,,,,,,,설치불량/미설치 ,0.9049773755656109,0.00000005728709359485059,2,,,
경기지역본부,안중GS,000000000013002190,오동작/계기불량/작동불량,절연/접지 불량,보강/개조/추가설치,1432,472,F,,,,,,,,,,,,,오동작/계기불량/작동불량,25.79185520361991,0.0000016326821674532419,57,,,
경기지역본부,안중GS,000000000013002190,오동작/계기불량/작동불량,이물질 ,부품/자재 교체,44969,167,F,,,,,,,,,,,,,외부 LEAK,28.054298642533936,0.0000017758999014403682,62,,,
경기지역본부,안중GS,000000000013002190,,,,39528,*,C,,,,,,,,,,,,,이물질/오염,4.072398190045249,0.0000002577919211768276,9,,,
