플랜트,위치,설비,고장 모드,고장 원인,고장 조치사항,작동시간,보수시간,상태플래그,Column_10,Column_11,Column_12,Column_13,Column_14,Column_15,Column_16,Column_17,Column_18,Column_19,Column_20,Column_21,Column_22-T,Column_23,Column_25
대전충청지역본부,아산GS,000000000014036750,,,,57528,*,C,1000,0.9952314795557136,0.9921026766779777,0.9971224935682427,0.004768520444286439,0.0028775064317573262,0.00789732332202231,209208.25484613885,126124.52090269074,347022.87534979434,0.0000047571329357326304,0.000004779926111115664,C,76.92307692307692,50
대전충청지역본부,아산GS,000000000014036751,,,,57528,*,C,5000,0.9763837039299226,0.9611321545842018,0.9856950303576821,0.023616296070077425,0.014304969642317866,0.03886784541579824,,,,0.000004667041960882463,0.000004779926111115664,F,23.076923076923077,15
대전충청지역본부,아산GS,000000000014036752,,,,57528,*,C,10000,0.9533251372999146,0.9237750185756698,0.971594692871832,0.04667486270008536,0.028405307128168023,0.07622498142433021,,,,0.000004556823716162788,0.000004779926111115665,,,
대전충청지역본부,아산GS,000000000014036753,,,,57528,*,C,50000,0.7874177914384198,0.6727149321282254,0.8658161242447038,0.21258220856158017,0.13418387575529622,0.3272850678717746,,,,0.000003763798861653532,0.000004779926111115665,,,
경기지역본부,안중GS,000000000043002642,외부 LEAK,노후/장기사용,,61427,28,F,100000,0.6200267782737588,0.45254537990828303,0.7496375610021203,0.37997322172624115,0.2503624389978797,0.547454620091717,,,,0.0000029636821870616635,0.000004779926111115666,,,
경기지역본부,안중GS,000000000043002642,,,,28680,*,C,,,,,,,,,,,,,,,
경기지역본부,안중GS,000000000043002643,외부 LEAK,이완/밀봉/고정 불량,밀봉/조임 작업,36679,27,F,,,,,,,,,,,,,,,
경기지역본부,안중GS,000000000043002643,외부 LEAK,노후/장기사용,,6439,152,F,,,,,,,,,,,,,,,
경기지역본부,안중GS,000000000043002643,이완/풀림/탈락,,,175,79,F,,,,,,,,,,,,,,,
경기지역본부,안중GS,000000000043002643,,,,30048,*,C,,,,,,,,,,,,,,,
경기지역본부,목감GS,000000000043002645,,,,68256,*,C,,,,,,,,,,,,,,,
경기지역본부,평택GS,000000000043002664,,,,73728,*,C,,,,,,,,,,,,,,,
경기지역본부,평택GS,000000000043002666,,,,40056,*,C,,,,,,,,,,,,,,,
경기지역본부,평촌GS,000000000043002685,외부 LEAK,부품/자재 불량,부품/자재 교체,29891,122,F,,,,,,,,,,,,,,,
경기지역본부,평촌GS,000000000043002685,이완/풀림/탈락,노후/장기사용,,5893,170,F,,,,,,,,,,,,,,,
경기지역본부,평촌GS,000000000043002685,외부 LEAK,이완/밀봉/고정 불량,교정/조정/재설정 작업,465,31,F,,,,,,,,,,,,,,,
경기지역본부,평촌GS,000000000043002685,외부 LEAK,이완/밀봉/고정 불량,,857,143,F,,,,,,,,,,,,,,,
경기지역본부,평촌GS,000000000043002685,,,,55416,*,C,,,,,,,,,,,,,,,
경기지역본부,평촌GS,000000000043002688,외부 LEAK,온도변화/열팽창 ,밀봉/조임 작업,8429,175,F,,,,,,,,,,,,,,,
경기지역본부,평촌GS,000000000043002688,균열/파손/소손/절단,이완/밀봉/고정 불량,밀봉/조임 작업,14632,113,F,,,,,,,,,,,,,,,
경기지역본부,평촌GS,000000000043002688,,,,67944,*,C,,,,,,,,,,,,,,,
인천지역본부,영종GS,000000000043002694,,,,21672,*,C,,,,,,,,,,,,,,,
인천지역본부,영종GS,000000000043002696,,,,18552,*,C,,,,,,,,,,,,,,,
인천지역본부,영종GS,000000000043002697,,,,18552,*,C,,,,,,,,,,,,,,,
인천지역본부,원창GS,000000000043002700,,,,29808,*,C,,,,,,,,,,,,,,,
인천지역본부,원창GS,000000000043002701,외부 LEAK,이완/밀봉/고정 불량,밀봉/조임 작업,8177,239,F,,,,,,,,,,,,,,,
인천지역본부,원창GS,000000000043002701,,,,19152,*,C,,,,,,,,,,,,,,,
서울지역본부,방배GS,000000000043002715,,,,28056,*,C,,,,,,,,,,,,,,,
서울지역본부,대치GS,000000000043002718,,,,80904,*,C,,,,,,,,,,,,,,,
대전충청지역본부,중촌GS,000000000043002759,,,,75528,*,C,,,,,,,,,,,,,,,
대전충청지역본부,중촌GS,000000000043002760,,,,75840,*,C,,,,,,,,,,,,,,,
부산경남지역본부,울산GS,000000000043002798,,,,11928,*,C,,,,,,,,,,,,,,,
부산경남지역본부,양산GS,000000000043002809,,,,27528,*,C,,,,,,,,,,,,,,,
부산경남지역본부,장림GS,000000000043002818,,,,7512,*,C,,,,,,,,,,,,,,,
부산경남지역본부,장림GS,000000000043002819,,,,7512,*,C,,,,,,,,,,,,,,,
부산경남지역본부,장림GS,000000000043002820,,,,7512,*,C,,,,,,,,,,,,,,,
부산경남지역본부,창원GS,000000000043002827,,,,72792,*,C,,,,,,,,,,,,,,,
부산경남지역본부,창원GS,000000000043002828,,,,82416,*,C,,,,,,,,,,,,,,,
부산경남지역본부,정관GS,000000000043002832,,,,7896,*,C,,,,,,,,,,,,,,,
부산경남지역본부,정관GS,000000000043002833,,,,7896,*,C,,,,,,,,,,,,,,,
대구경북지역본부,중리GS,000000000043002839,,,,80616,*,C,,,,,,,,,,,,,,,
전북지역본부,부곡GS,000000000043002856,,,,51528,*,C,,,,,,,,,,,,,,,
인천지역본부,송도GS,000000000044000117,,,,10920,*,C,,,,,,,,,,,,,,,
전북지역본부,군산GS,000000000044000215,,,,92352,*,C,,,,,,,,,,,,,,,
전북지역본부,군산GS,000000000044000216,,,,92352,*,C,,,,,,,,,,,,,,,
전북지역본부,군산GS,000000000044000217,외부 LEAK,설계/설치불량/연약지반 ,부품/자재 교체,76063,10,F,,,,,,,,,,,,,,,
전북지역본부,군산GS,000000000044000217,,,,16272,*,C,,,,,,,,,,,,,,,
서울지역본부,교하GS,000000000044000268,,,,94848,*,C,,,,,,,,,,,,,,,
서울지역본부,교하GS,000000000044000269,,,,94848,*,C,,,,,,,,,,,,,,,
서울지역본부,교하GS,000000000044000270,,,,94848,*,C,,,,,,,,,,,,,,,
서울지역본부,교하GS,000000000044000271,,,,94848,*,C,,,,,,,,,,,,,,,
경기지역본부,목감GS,000000000044000306,,,,91152,*,C,,,,,,,,,,,,,,,
경기지역본부,목감GS,000000000044000307,이완/풀림/탈락,이완/밀봉/고정 불량,,23902,134,F,,,,,,,,,,,,,,,
경기지역본부,목감GS,000000000044000307,이완/풀림/탈락,이완/밀봉/고정 불량,,2670,123,F,,,,,,,,,,,,,,,
경기지역본부,목감GS,000000000044000307,,,,64272,*,C,,,,,,,,,,,,,,,
경기지역본부,목감GS,000000000044000308,이완/풀림/탈락,이완/밀봉/고정 불량,,23081,117,F,,,,,,,,,,,,,,,
경기지역본부,목감GS,000000000044000308,,,,67920,*,C,,,,,,,,,,,,,,,
경기지역본부,목감GS,000000000044000309,,,,91152,*,C,,,,,,,,,,,,,,,
인천지역본부,서원창GS,000000000044000344,,,,85344,*,C,,,,,,,,,,,,,,,
인천지역본부,서원창GS,000000000044000345,,,,85344,*,C,,,,,,,,,,,,,,,
인천지역본부,서원창GS,000000000044000346,,,,85344,*,C,,,,,,,,,,,,,,,
인천지역본부,서원창GS,000000000044000347,,,,85344,*,C,,,,,,,,,,,,,,,
강원지역본부,영월GS,000000000044000586,,,,88248,*,C,,,,,,,,,,,,,,,
강원지역본부,영월GS,000000000044000587,,,,88248,*,C,,,,,,,,,,,,,,,
강원지역본부,영월GS,000000000044000588,,,,88248,*,C,,,,,,,,,,,,,,,
