플랜트,위치,설비,고장 모드,고장 원인,고장 조치사항,작동시간,보수시간,상태플래그
평택기지본부,1공장 1차펌프,000000000012112856,,,,48264,,C
평택기지본부,1공장 1차펌프,000000000012112857,정지(Trip)/기동불량/전원불량,부품/자재 불량,부품/자재 교체,18912,662,F
평택기지본부,1공장 1차펌프,000000000012112857,,,,19200,,C
평택기지본부,1공장 1차펌프,000000000012112858,,,,15768,,C
평택기지본부,1공장 1차펌프,000000000012112859,균열/파손/소손/절단,노후/장기사용,보강/개조/추가설치,9429,302,F
평택기지본부,1공장 1차펌프,000000000012112859,,,,15792,,C
평택기지본부,1공장 1차펌프,000000000012112860,,,,11280,,C
평택기지본부,1공장 1차펌프,000000000012112862,,,,34992,,C
평택기지본부,1공장 1차펌프,000000000012112863,,,,5568,,C
평택기지본부,1공장 1차펌프,000000000012112865,외부 LEAK,,,25896,,F
평택기지본부,1공장 1차펌프,000000000012112865,,,,21504,,C
평택기지본부,1공장 1차펌프,000000000012112866,,,,32784,,C
평택기지본부,1공장 1차펌프,000000000012112868,진동/소음,,,17723,,F
평택기지본부,1공장 1차펌프,000000000012112868,,,,33576,,C
평택기지본부,1공장 1차펌프,000000000012112869,,,,28680,,C
평택기지본부,1공장 1차펌프,000000000012112870,,,,28104,,C
평택기지본부,1공장 1차펌프,000000000012112871,,,,50088,,C
평택기지본부,1공장 1차펌프,000000000012112872,,,,51312,,C
평택기지본부,1공장 1차펌프,000000000012112876,진동/소음,Unbalance,보강/개조/추가설치,8649,1535,F
평택기지본부,1공장 1차펌프,000000000012112876,,,,47592,,C
평택기지본부,1공장 1차펌프,000000000012112877,,,,15072,,C
평택기지본부,저장부문 11탱크,000000000012113031,오동작/계기불량/작동불량,부품/자재 불량,직접입력,28549,339,F
평택기지본부,저장부문 11탱크,000000000012113031,,,,20016,,C
평택기지본부,저장부문 11탱크,000000000012113032,외부 LEAK,이완/밀봉/고정 불량,밀봉/조임 작업,14272,500,F
평택기지본부,저장부문 11탱크,000000000012113032,외부 LEAK,부품/자재 불량,분해점검,26397,492,F
