플랜트,위치,설비,고장 모드,고장 원인,고장 조치사항,작동시간,보수시간,상태플래그
인천기지본부,2공장 SMV,000000000014066778,,,,12264,,C
인천기지본부,2공장 SMV,000000000014066779,,,,12264,,C
통영기지본부,2공장 기화해수펌프,000000000024010707,,,,47304,,C
평택기지본부,1공장 2차펌프,000000000032100016,,,,52488,,C
평택기지본부,1공장 2차펌프,000000000032100025,,,,96000,,C
평택기지본부,1공장 2차펌프,000000000032100031,,,,92352,,C
평택기지본부,1공장 2차펌프,000000000032100034,오동작/계기불량/작동불량,노후/장기사용,부품/자재 교체,73738,335,F
평택기지본부,1공장 2차펌프,000000000032100034,오동작/계기불량/작동불량,설정값불량/점검불량,부품/자재 교체,4837,211,F
평택기지본부,1공장 2차펌프,000000000032100034,,,,13416,,C
평택기지본부,1공장 2차펌프,000000000032100035,,,,47856,,C
평택기지본부,1공장 2차펌프,000000000032100036,,,,46344,,C
평택기지본부,1공장 2차펌프,000000000032100037,균열/파손/소손/절단,부품/자재 불량,부품/자재 교체,8775,1033,F
평택기지본부,1공장 2차펌프,000000000032100037,오동작/계기불량/작동불량,이완/밀봉/고정 불량,교정/조정/재설정 작업,22028,257,F
평택기지본부,1공장 2차펌프,000000000032100037,전송/통신 불량,노후/장기사용,교정/조정/재설정 작업,25196,212,F
평택기지본부,1공장 2차펌프,000000000032100037,,,,36024,,C
평택기지본부,1공장 2차펌프,000000000032100047,오동작/계기불량/작동불량,부품/자재 불량,부품/자재 교체,3427,763,F
평택기지본부,1공장 2차펌프,000000000032100047,,,,72144,,C
평택기지본부,1공장 2차펌프,000000000032100049,오동작/계기불량/작동불량,설정값불량/점검불량,교정/조정/재설정 작업,21712,166,F
평택기지본부,1공장 2차펌프,000000000032100049,,,,70128,,C
평택기지본부,1공장 2차펌프,000000000032100052,,,,82680,,C
평택기지본부,1공장 2차펌프,000000000032100053,,,,3504,,C
평택기지본부,1공장 2차펌프,000000000032100055,,,,85656,,C
평택기지본부,1공장 2차펌프,000000000032100066,,,,94680,,C
평택기지본부,1공장 2차펌프,000000000032100067,,,,76584,,C
평택기지본부,1공장 2차펌프,000000000032100079,,,,72336,,C
평택기지본부,1공장 2차펌프,000000000032100084,오동작/계기불량/작동불량,설정값불량/점검불량,교정/조정/재설정 작업,21360,59,F
평택기지본부,1공장 2차펌프,000000000032100084,오동작/계기불량/작동불량,부품/자재 불량,교정/조정/재설정 작업,6415,296,F
평택기지본부,1공장 2차펌프,000000000032100084,오동작/계기불량/작동불량,직접입력,직접입력,45452,379,F
평택기지본부,1공장 2차펌프,000000000032100084,,,,20040,,C
평택기지본부,1공장 2차펌프,000000000032100085,,,,94032,,C
평택기지본부,1공장 2차펌프,000000000032100086,,,,94032,,C
평택기지본부,1공장 2차펌프,000000000032100087,오동작/계기불량/작동불량,노후/장기사용,교정/조정/재설정 작업,33883,213,F
평택기지본부,1공장 2차펌프,000000000032100087,,,,59832,,C
평택기지본부,1공장 2차펌프,000000000032100088,,,,94032,,C
평택기지본부,1공장 2차펌프,000000000032100089,,,,94032,,C
평택기지본부,1공장 2차펌프,000000000032100090,,,,94032,,C
평택기지본부,1공장 2차펌프,000000000032100091,,,,94032,,C
평택기지본부,1공장 2차펌프,000000000032100092,,,,94032,,C
평택기지본부,1공장 2차펌프,000000000032100093,,,,94032,,C
평택기지본부,1공장 2차펌프,000000000032100094,,,,94032,,C
평택기지본부,1공장 2차펌프,000000000032100095,,,,94032,,C
평택기지본부,1공장 2차펌프,000000000032100096,,,,94032,,C
평택기지본부,1공장 2차펌프,000000000032100097,,,,94032,,C
평택기지본부,1공장 2차펌프,000000000032100098,,,,94032,,C
평택기지본부,1공장 2차펌프,000000000032100120,,,,87072,,C
평택기지본부,1공장 2차펌프,000000000032100130,,,,71208,,C
평택기지본부,1공장 2차펌프,000000000032100131,,,,19416,,C
평택기지본부,1공장 2차펌프,000000000032100135,,,,52632,,C
평택기지본부,1공장 2차펌프,000000000032100140,외부 LEAK,이완/밀봉/고정 불량,재설치 ,2360,195,F
평택기지본부,1공장 2차펌프,000000000032100140,경보(Alarm)/차압발생,설정값불량/점검불량,교정/조정/재설정 작업,3945,439,F
평택기지본부,1공장 2차펌프,000000000032100140,,,,87408,,C
평택기지본부,1공장 2차펌프,000000000032100142,,,,72624,,C
평택기지본부,1공장 2차펌프,000000000032100157,,,,37272,,C
평택기지본부,1공장 2차펌프,000000000032100158,오동작/계기불량/작동불량,노후/장기사용,부품/자재 교체,25604,764,F
평택기지본부,1공장 2차펌프,000000000032100158,,,,46848,,C
평택기지본부,1공장 2차펌프,000000000032100162,,,,89904,,C
평택기지본부,1공장 2차펌프,000000000032100189,,,,94704,,C
평택기지본부,1공장 2차펌프,000000000032100213,,,,67512,,C
평택기지본부,1공장 2차펌프,000000000032100225,,,,59424,,C
평택기지본부,1공장 2차펌프,000000000032100231,,,,87504,,C
평택기지본부,1공장 2차펌프,000000000032100232,오동작/계기불량/작동불량,노후/장기사용,부품/자재 교체,7526,602,F
평택기지본부,1공장 2차펌프,000000000032100232,,,,70608,,C
평택기지본부,1공장 2차펌프,000000000032100240,,,,71328,,C
평택기지본부,1공장 2차펌프,000000000032100241,,,,61968,,C
평택기지본부,1공장 2차펌프,000000000032100243,,,,93528,,C
평택기지본부,1공장 2차펌프,000000000032100292,,,,24168,,C
평택기지본부,1공장 2차펌프,000000000032100314,,,,80880,,C
평택기지본부,1공장 2차펌프,000000000032100324,,,,75696,,C
평택기지본부,1공장 2차펌프,000000000032100335,,,,28032,,C
평택기지본부,공통 계량설비,000000000032100483,,,,2952,,C
평택기지본부,공통 계량설비,000000000032100487,고착 (Stick),,,45716,,F
평택기지본부,공통 계량설비,000000000032100487,,,,9360,,C
평택기지본부,공통 감압설비,000000000032100502,,,,86808,,C
평택기지본부,공통 감압설비,000000000032100508,,,,68040,,C
평택기지본부,공통 계량설비,000000000032100518,,,,72792,,C
평택기지본부,공통 계량설비,000000000032100527,,,,69120,,C
평택기지본부,공통 계량설비,000000000032100529,,,,98832,,C
평택기지본부,공통 계량설비,000000000032100532,오동작/계기불량/작동불량,노후/장기사용,부품/자재 교체,8082,1702,F
평택기지본부,공통 계량설비,000000000032100532,,,,8616,,C
평택기지본부,공통 계량설비,000000000032100535,,,,41376,,C
평택기지본부,공통 계량설비,000000000032100536,,,,62808,,C
평택기지본부,공통 계량설비,000000000032100537,,,,99073,,C
