플랜트,위치,설비,고장 모드,고장 원인,고장 조치사항,작동시간,보수시간,상태플래그
평택기지본부,저장부문 11탱크,000000000012107555,,,,93744,,C
평택기지본부,1부두,000000000012107570,,,,75048,,C
평택기지본부,1부두,000000000012107571,,,,47520,,C
평택기지본부,2부두,000000000012107572,,,,30624,,C
평택기지본부,2부두,000000000012107573,균열/파손/소손/절단,이완/밀봉/고정 불량,부품/자재 교체,8125,523,F
평택기지본부,2부두,000000000012107573,,,,38952,,C
평택기지본부,1부두,000000000012109196,내부 LEAK,장기미사용 ,시운전 ,9476,231,F
평택기지본부,1부두,000000000012109196,내부 LEAK,노후/장기사용,교정/조정/재설정 작업,15298,118,F
평택기지본부,1부두,000000000012109196,오동작/계기불량/작동불량,설정값불량/점검불량,,22285,,F
평택기지본부,1부두,000000000012109196,오동작/계기불량/작동불량,절연/접지 불량,교정/조정/재설정 작업,39848,4991,F
평택기지본부,1부두,000000000012109196,내부 LEAK,직접입력,,6344,,F
평택기지본부,1부두,000000000012109196,,,,3336,,C
평택기지본부,2부두,000000000012109198,,,,83688,,C
평택기지본부,1부두,000000000012109642,,,,95640,,C
평택기지본부,1부두,000000000012109646,,,,73512,,C
평택기지본부,2부두,000000000012111575,,,,88800,,C
평택기지본부,2부두,000000000012111611,균열/파손/소손/절단,노후/장기사용,분해점검,76671,66,F
평택기지본부,2부두,000000000012111611,,,,18912,,C
평택기지본부,2부두,000000000012111612,오동작/계기불량/작동불량,이완/밀봉/고정 불량,보강/개조/추가설치,3519,353,F
평택기지본부,2부두,000000000012111612,오동작/계기불량/작동불량,설정값불량/점검불량,교정/조정/재설정 작업,4783,145,F
평택기지본부,2부두,000000000012111612,이완/풀림/탈락,이완/밀봉/고정 불량,밀봉/조임 작업,12877,116,F
평택기지본부,2부두,000000000012111612,이완/풀림/탈락,이완/밀봉/고정 불량,교정/조정/재설정 작업,11316,169,F
평택기지본부,2부두,000000000012111612,오동작/계기불량/작동불량,이완/밀봉/고정 불량,부품/자재 교체,4765,143,F
평택기지본부,2부두,000000000012111612,외부 LEAK,부품/자재 불량,부품/자재 교체,5413,507,F
평택기지본부,2부두,000000000012111612,균열/파손/소손/절단,,,10912,,F
평택기지본부,2부두,000000000012111612,외부 LEAK,노후/장기사용,밀봉/조임 작업,16738,30,F
평택기지본부,2부두,000000000012111612,,,,15432,,C
평택기지본부,2부두,000000000012111613,전송/통신 불량,이완/밀봉/고정 불량,재설치 ,52359,290,F
