플랜트,위치,설비,고장 모드,고장 원인,고장 조치사항,작동시간,보수시간,상태플래그,Column_10,Column_11,Column_12,Column_13,Column_14,Column_15,Column_16,Column_17,Column_18,Column_19,Column_20,Column_21,Column_22-T,Column_23,Column_24,Column_25,Column_26-T,Column_27,Column_28
대전충청지역본부,아산GS,000000000014036750,,,,57576,*,C,1000,0.9966260316066236,0.9944096731498221,0.9979645845915122,0.0033739683933764475,0.0020354154084878395,0.005590326850177907,295886.6086359288,178379.950167845,490800.0315489099,0.000003368270149842817,0.0000033796730599269562,균열/파손/소손/절단,6.666666666666667,0.00000022531153732846377,1,C,82.3529411764706,70
대전충청지역본부,아산GS,000000000014036751,,,,57576,*,C,5000,0.9832436112266321,0.9723591410947182,0.9898642678766476,0.016756388773367936,0.010135732123352392,0.027640858905281784,,,,0.0000033230419442079422,0.0000033796730599269562,외부 LEAK,60,0.000002027803835956174,9,F,17.647058823529413,15
대전충청지역본부,아산GS,000000000014036752,,,,57576,*,C,10000,0.9667679990179883,0.9454822992704581,0.9798312688189714,0.033232000982011733,0.020168731181028576,0.054517700729541874,,,,0.0000032673597614805856,0.0000033796730599269567,이완/풀림/탈락,33.333333333333336,0.0000011265576866423188,5,,,
대전충청지역본부,아산GS,000000000014036753,,,,57576,*,C,50000,0.8445227086889995,0.7555566169098914,0.9031429033683213,0.15547729131100052,0.09685709663167874,0.2444433830901086,,,,0.0000028542106470527527,0.0000033796730599269567,,,,,,,
경기지역본부,안중GS,000000000043002642,외부 LEAK,노후/장기사용,,61427,28,F,100000,0.7132186054914047,0.5708658013563204,0.8156671039045609,0.2867813945085953,0.18433289609543912,0.42913419864367963,,,,0.000002410445706817973,0.0000033796730599269575,,,,,,,
경기지역본부,안중GS,000000000043002642,,,,28728,*,C,,,,,,,,,,,,,,,,,,,
경기지역본부,안중GS,000000000043002643,외부 LEAK,이완/밀봉/고정 불량,밀봉/조임 작업,36679,27,F,,,,,,,,,,,,,,,,,,,
경기지역본부,안중GS,000000000043002643,외부 LEAK,노후/장기사용,,6439,152,F,,,,,,,,,,,,,,,,,,,
경기지역본부,안중GS,000000000043002643,이완/풀림/탈락,,,175,79,F,,,,,,,,,,,,,,,,,,,
경기지역본부,안중GS,000000000043002643,,,,30096,*,C,,,,,,,,,,,,,,,,,,,
경기지역본부,목감GS,000000000043002645,,,,68304,*,C,,,,,,,,,,,,,,,,,,,
경기지역본부,평택GS,000000000043002664,,,,73776,*,C,,,,,,,,,,,,,,,,,,,
경기지역본부,평택GS,000000000043002666,,,,40104,*,C,,,,,,,,,,,,,,,,,,,
경기지역본부,평촌GS,000000000043002685,외부 LEAK,부품/자재 불량,부품/자재 교체,29891,122,F,,,,,,,,,,,,,,,,,,,
경기지역본부,평촌GS,000000000043002685,이완/풀림/탈락,노후/장기사용,,5893,170,F,,,,,,,,,,,,,,,,,,,
경기지역본부,평촌GS,000000000043002685,외부 LEAK,이완/밀봉/고정 불량,교정/조정/재설정 작업,465,31,F,,,,,,,,,,,,,,,,,,,
경기지역본부,평촌GS,000000000043002685,외부 LEAK,이완/밀봉/고정 불량,,857,143,F,,,,,,,,,,,,,,,,,,,
경기지역본부,평촌GS,000000000043002685,,,,55464,*,C,,,,,,,,,,,,,,,,,,,
경기지역본부,평촌GS,000000000043002688,외부 LEAK,온도변화/열팽창 ,밀봉/조임 작업,8429,175,F,,,,,,,,,,,,,,,,,,,
경기지역본부,평촌GS,000000000043002688,균열/파손/소손/절단,이완/밀봉/고정 불량,밀봉/조임 작업,14632,113,F,,,,,,,,,,,,,,,,,,,
경기지역본부,평촌GS,000000000043002688,,,,67992,*,C,,,,,,,,,,,,,,,,,,,
인천지역본부,영종GS,000000000043002694,,,,21720,*,C,,,,,,,,,,,,,,,,,,,
인천지역본부,영종GS,000000000043002696,,,,18600,*,C,,,,,,,,,,,,,,,,,,,
인천지역본부,영종GS,000000000043002697,,,,18600,*,C,,,,,,,,,,,,,,,,,,,
인천지역본부,원창GS,000000000043002700,,,,29856,*,C,,,,,,,,,,,,,,,,,,,
인천지역본부,원창GS,000000000043002701,외부 LEAK,이완/밀봉/고정 불량,밀봉/조임 작업,8177,239,F,,,,,,,,,,,,,,,,,,,
인천지역본부,원창GS,000000000043002701,,,,19200,*,C,,,,,,,,,,,,,,,,,,,
서울지역본부,방배GS,000000000043002715,,,,28104,*,C,,,,,,,,,,,,,,,,,,,
서울지역본부,대치GS,000000000043002718,,,,80952,*,C,,,,,,,,,,,,,,,,,,,
대전충청지역본부,중촌GS,000000000043002759,,,,75576,*,C,,,,,,,,,,,,,,,,,,,
대전충청지역본부,중촌GS,000000000043002760,,,,75888,*,C,,,,,,,,,,,,,,,,,,,
부산경남지역본부,울산GS,000000000043002798,,,,11976,*,C,,,,,,,,,,,,,,,,,,,
부산경남지역본부,양산GS,000000000043002809,,,,27576,*,C,,,,,,,,,,,,,,,,,,,
부산경남지역본부,장림GS,000000000043002818,,,,7560,*,C,,,,,,,,,,,,,,,,,,,
부산경남지역본부,장림GS,000000000043002819,,,,7560,*,C,,,,,,,,,,,,,,,,,,,
부산경남지역본부,장림GS,000000000043002820,,,,7560,*,C,,,,,,,,,,,,,,,,,,,
부산경남지역본부,창원GS,000000000043002827,,,,72840,*,C,,,,,,,,,,,,,,,,,,,
부산경남지역본부,창원GS,000000000043002828,,,,82464,*,C,,,,,,,,,,,,,,,,,,,
부산경남지역본부,정관GS,000000000043002832,,,,7944,*,C,,,,,,,,,,,,,,,,,,,
부산경남지역본부,정관GS,000000000043002833,,,,7944,*,C,,,,,,,,,,,,,,,,,,,
대구경북지역본부,중리GS,000000000043002839,,,,80664,*,C,,,,,,,,,,,,,,,,,,,
전북지역본부,부곡GS,000000000043002856,,,,51576,*,C,,,,,,,,,,,,,,,,,,,
경기지역본부,평택GS,000000000043003091,,,,73728,*,C,,,,,,,,,,,,,,,,,,,
경기지역본부,평택GS,000000000043003092,,,,65160,*,C,,,,,,,,,,,,,,,,,,,
경기지역본부,수원GS,000000000043003098,,,,92592,*,C,,,,,,,,,,,,,,,,,,,
경기지역본부,평촌GS,000000000043003113,,,,93000,*,C,,,,,,,,,,,,,,,,,,,
경기지역본부,평촌GS,000000000043003114,,,,28248,*,C,,,,,,,,,,,,,,,,,,,
경기지역본부,평촌GS,000000000043003115,,,,28248,*,C,,,,,,,,,,,,,,,,,,,
인천지역본부,원창GS,000000000043003126,,,,19200,*,C,,,,,,,,,,,,,,,,,,,
서울지역본부,대치GS,000000000043003145,,,,71928,*,C,,,,,,,,,,,,,,,,,,,
대전충청지역본부,중촌GS,000000000043003184,,,,75624,*,C,,,,,,,,,,,,,,,,,,,
광주전남지역본부,하남GS,000000000043003195,,,,14760,*,C,,,,,,,,,,,,,,,,,,,
부산경남지역본부,김해GS,000000000043003295,,,,19992,*,C,,,,,,,,,,,,,,,,,,,
인천지역본부,송도GS,000000000044000117,,,,10968,*,C,,,,,,,,,,,,,,,,,,,
전북지역본부,군산GS,000000000044000215,,,,92400,*,C,,,,,,,,,,,,,,,,,,,
전북지역본부,군산GS,000000000044000216,,,,92400,*,C,,,,,,,,,,,,,,,,,,,
전북지역본부,군산GS,000000000044000217,외부 LEAK,설계/설치불량/연약지반 ,부품/자재 교체,76063,10,F,,,,,,,,,,,,,,,,,,,
전북지역본부,군산GS,000000000044000217,,,,16320,*,C,,,,,,,,,,,,,,,,,,,
전북지역본부,군산GS,000000000044000235,,,,48096,*,C,,,,,,,,,,,,,,,,,,,
경기지역본부,판교GS,000000000044000243,,,,98832,*,C,,,,,,,,,,,,,,,,,,,
경기지역본부,판교GS,000000000044000244,,,,98832,*,C,,,,,,,,,,,,,,,,,,,
경기지역본부,판교GS,000000000044000245,,,,98832,*,C,,,,,,,,,,,,,,,,,,,
서울지역본부,교하GS,000000000044000268,,,,94896,*,C,,,,,,,,,,,,,,,,,,,
서울지역본부,교하GS,000000000044000269,,,,94896,*,C,,,,,,,,,,,,,,,,,,,
서울지역본부,교하GS,000000000044000270,,,,94896,*,C,,,,,,,,,,,,,,,,,,,
서울지역본부,교하GS,000000000044000271,,,,94896,*,C,,,,,,,,,,,,,,,,,,,
경기지역본부,목감GS,000000000044000306,,,,91200,*,C,,,,,,,,,,,,,,,,,,,
경기지역본부,목감GS,000000000044000307,이완/풀림/탈락,이완/밀봉/고정 불량,,23902,134,F,,,,,,,,,,,,,,,,,,,
경기지역본부,목감GS,000000000044000307,이완/풀림/탈락,이완/밀봉/고정 불량,,2670,123,F,,,,,,,,,,,,,,,,,,,
경기지역본부,목감GS,000000000044000307,,,,64320,*,C,,,,,,,,,,,,,,,,,,,
경기지역본부,목감GS,000000000044000308,이완/풀림/탈락,이완/밀봉/고정 불량,,23081,117,F,,,,,,,,,,,,,,,,,,,
경기지역본부,목감GS,000000000044000308,,,,67968,*,C,,,,,,,,,,,,,,,,,,,
경기지역본부,목감GS,000000000044000309,,,,91200,*,C,,,,,,,,,,,,,,,,,,,
인천지역본부,서원창GS,000000000044000344,,,,85392,*,C,,,,,,,,,,,,,,,,,,,
인천지역본부,서원창GS,000000000044000345,,,,85392,*,C,,,,,,,,,,,,,,,,,,,
인천지역본부,서원창GS,000000000044000346,,,,85392,*,C,,,,,,,,,,,,,,,,,,,
인천지역본부,서원창GS,000000000044000347,,,,85392,*,C,,,,,,,,,,,,,,,,,,,
강원지역본부,영월GS,000000000044000586,,,,88296,*,C,,,,,,,,,,,,,,,,,,,
강원지역본부,영월GS,000000000044000587,,,,88296,*,C,,,,,,,,,,,,,,,,,,,
강원지역본부,영월GS,000000000044000588,,,,88296,*,C,,,,,,,,,,,,,,,,,,,
대전충청지역본부,조치원GS,000000000044001103,,,,65712,*,C,,,,,,,,,,,,,,,,,,,
강원지역본부,영월GS,000000000044001150,,,,82464,*,C,,,,,,,,,,,,,,,,,,,
강원지역본부,영월GS,000000000044001151,,,,82464,*,C,,,,,,,,,,,,,,,,,,,
강원지역본부,영월GS,000000000044001152,,,,82464,*,C,,,,,,,,,,,,,,,,,,,
부산경남지역본부,김해GS,000000000044001274,,,,57600,*,C,,,,,,,,,,,,,,,,,,,
