플랜트,위치,설비,고장 모드,고장 원인,고장 조치사항,작동시간,보수시간,상태플래그
평택기지본부,1공장 1차펌프,000000000012112856,,,,48408,,C
평택기지본부,1공장 1차펌프,000000000012112857,정지(Trip)/기동불량/전원불량,부품/자재 불량,부품/자재 교체,18912,662,F
평택기지본부,1공장 1차펌프,000000000012112857,,,,19344,,C
평택기지본부,1공장 1차펌프,000000000012112858,,,,15912,,C
평택기지본부,1공장 1차펌프,000000000012112859,균열/파손/소손/절단,노후/장기사용,보강/개조/추가설치,9429,302,F
평택기지본부,1공장 1차펌프,000000000012112859,,,,15936,,C
평택기지본부,1공장 1차펌프,000000000012112860,,,,11424,,C
평택기지본부,1공장 1차펌프,000000000012112862,,,,35136,,C
평택기지본부,1공장 1차펌프,000000000012112863,,,,5712,,C
평택기지본부,1공장 1차펌프,000000000012112865,내부 LEAK,노후/장기사용,부품/자재 교체,51501,197,F
평택기지본부,1공장 1차펌프,000000000012112865,외부 LEAK,,,25896,,F
평택기지본부,1공장 1차펌프,000000000012112865,,,,21648,,C
평택기지본부,1공장 1차펌프,000000000012112866,외부 LEAK,부품/자재 불량,부품/자재 교체,51874,266,F
평택기지본부,1공장 1차펌프,000000000012112866,,,,32928,,C
평택기지본부,1공장 1차펌프,000000000012112867,정지(Trip)/기동불량/전원불량,설정값불량/점검불량,교정/조정/재설정 작업,348,73,F
평택기지본부,1공장 1차펌프,000000000012112867,직접입력,직접입력,교정/조정/재설정 작업,16811,,F
평택기지본부,1공장 1차펌프,000000000012112867,,,,73608,,C
평택기지본부,1공장 1차펌프,000000000012112868,진동/소음,,,17723,,F
평택기지본부,1공장 1차펌프,000000000012112868,,,,33720,,C
평택기지본부,1공장 1차펌프,000000000012112869,,,,28824,,C
평택기지본부,1공장 1차펌프,000000000012112870,내부 LEAK,노후/장기사용,부품/자재 교체,62782,1286,F
평택기지본부,1공장 1차펌프,000000000012112870,,,,28248,,C
평택기지본부,1공장 1차펌프,000000000012112871,,,,50232,,C
평택기지본부,1공장 1차펌프,000000000012112872,,,,51456,,C
평택기지본부,1공장 1차펌프,000000000012112874,,,,97398,,C
평택기지본부,1공장 1차펌프,000000000012112875,정지(Trip)/기동불량/전원불량,설정값불량/점검불량,부품/자재 교체,4173,1359,F
평택기지본부,1공장 1차펌프,000000000012112875,,,,81168,,C
평택기지본부,1공장 1차펌프,000000000012112876,진동/소음,Unbalance,보강/개조/추가설치,8649,1535,F
평택기지본부,1공장 1차펌프,000000000012112876,,,,47736,,C
평택기지본부,1공장 1차펌프,000000000012112877,,,,15216,,C
평택기지본부,저장부문 11탱크,000000000012113031,직접입력,노후/장기사용,교정/조정/재설정 작업,41196,1921,F
평택기지본부,저장부문 11탱크,000000000012113031,오동작/계기불량/작동불량,부품/자재 불량,직접입력,28549,339,F
평택기지본부,저장부문 11탱크,000000000012113031,,,,20160,,C
평택기지본부,저장부문 11탱크,000000000012113032,외부 LEAK,이완/밀봉/고정 불량,밀봉/조임 작업,14272,500,F
평택기지본부,저장부문 11탱크,000000000012113032,외부 LEAK,부품/자재 불량,분해점검,26397,492,F
평택기지본부,저장부문 11탱크,000000000012113032,,,,23472,,C
평택기지본부,저장부문 11탱크,000000000012113033,오동작/계기불량/작동불량,노후/장기사용,부품/자재 교체,24562,479,F
평택기지본부,저장부문 11탱크,000000000012113033,,,,11904,,C
평택기지본부,저장부문 12탱크,000000000012113034,오동작/계기불량/작동불량,이완/밀봉/고정 불량,밀봉/조임 작업,20253,160,F
평택기지본부,저장부문 12탱크,000000000012113034,오동작/계기불량/작동불량,노후/장기사용,부품/자재 교체,42470,404,F
평택기지본부,저장부문 12탱크,000000000012113034,,,,22152,,C
평택기지본부,저장부문 12탱크,000000000012113035,오동작/계기불량/작동불량,H/W 오류,청소/윤활/코팅 작업,38321,1248,F
평택기지본부,저장부문 12탱크,000000000012113035,,,,55296,,C
평택기지본부,저장부문 12탱크,000000000012113036,오동작/계기불량/작동불량,노후/장기사용,부품/자재 교체,21303,505,F
평택기지본부,저장부문 12탱크,000000000012113036,오동작/계기불량/작동불량,부품/자재 불량,부품/자재 교체,28338,3022,F
평택기지본부,저장부문 12탱크,000000000012113036,진동/소음,이완/밀봉/고정 불량,밀봉/조임 작업,600,1168,F
평택기지본부,저장부문 12탱크,000000000012113036,오동작/계기불량/작동불량,부품/자재 불량,부품/자재 교체,8431,921,F
평택기지본부,저장부문 12탱크,000000000012113036,,,,36288,,C
평택기지본부,저장부문 13탱크,000000000012115136,오동작/계기불량/작동불량,부품/자재 불량,부품/자재 교체,4951,409,F
평택기지본부,저장부문 13탱크,000000000012115136,고착 (Stick),노후/장기사용,부품/자재 교체,28027,109,F
평택기지본부,저장부문 13탱크,000000000012115136,,,,56736,,C
평택기지본부,저장부문 13탱크,000000000012115137,오동작/계기불량/작동불량,직접입력,분해점검,8703,2567,F
평택기지본부,저장부문 13탱크,000000000012115137,오동작/계기불량/작동불량,노후/장기사용,부품/자재 교체,15658,437,F
평택기지본부,저장부문 13탱크,000000000012115137,오동작/계기불량/작동불량,H/W 오류,교정/조정/재설정 작업,2084,181,F
평택기지본부,저장부문 13탱크,000000000012115137,,,,69096,,C
평택기지본부,저장부문 14탱크,000000000012115138,,,,45288,,C
평택기지본부,저장부문 14탱크,000000000012115139,오동작/계기불량/작동불량,부품/자재 불량,분해점검,21901,1302,F
평택기지본부,저장부문 14탱크,000000000012115139,오동작/계기불량/작동불량,절연/접지 불량,밀봉/조임 작업,27334,2050,F
평택기지본부,저장부문 14탱크,000000000012115139,오동작/계기불량/작동불량,부품/자재 불량,부품/자재 교체,21658,870,F
평택기지본부,저장부문 14탱크,000000000012115139,,,,20520,,C
인천기지본부,1공장 1차펌프,000000000012213456,균열/파손/소손/절단,노후/장기사용,부품/자재 교체,20103,163,F
인천기지본부,1공장 1차펌프,000000000012213456,오동작/계기불량/작동불량,절연/접지 불량,부품/자재 교체,3272,248,F
인천기지본부,1공장 1차펌프,000000000012213456,,,,59136,,C
