플랜트,위치,설비,고장 모드,고장 원인,고장 조치사항,작동시간,보수시간,상태플래그,Column_10,Column_11,Column_12,Column_13,Column_14,Column_15,Column_16,Column_17,Column_18,Column_19,Column_20,Column_21,Column_22-T,Column_23,Column_24,Column_25,Column_26-T,Column_27,Column_28
인천지역본부,영종GS,000000000013002059,,,,18936,*,C,1000,0.9917507057098979,0.9910864558516272,0.9923656455873974,0.008249294290102127,0.007634354412602629,0.008913544148372754,120721.80036439557,111688.07387270169,130486.20660995241,0.000008215174912205759,0.000008283508007514161,결빙(Icing),4.140127388535032,0.0000003429477837505864,26,C,66.80606377417669,1278
부산경남지역본부,장림GS,000000000013002111,,,,86832,*,C,5000,0.9594284465133283,0.9562197415332759,0.9624066290099572,0.04057155348667174,0.037593370990042785,0.043780258466724065,,,,0.000007947433219330027,0.000008283508007514161,경보(Alarm)/차압발생,1.5923566878980893,0.0000001319029937502255,10,F,33.193936225823315,635
부산경남지역본부,김해GS,000000000013002112,외부 LEAK,이완/밀봉/고정 불량,밀봉/조임 작업,3181,76,F,10000,0.9205029439789784,0.914356194097965,0.9262265195623093,0.07949705602102164,0.07377348043769072,0.08564380590203502,,,,0.0000076249935073902265,0.000008283508007514161,고착 (Stick),0.9554140127388535,0.0000000791417962501353,6,,,
부산경남지역본부,김해GS,000000000013002112,외부 LEAK,노후/장기사용,부품/자재 교체,1405,19,F,50000,0.6608850216180653,0.639112124158577,0.6816886410274623,0.3391149783819347,0.3183113589725377,0.360887875841423,,,,0.000005474446368619419,0.00000828350800751417,균열/파손/소손/절단,1.910828025477707,0.0000001582835925002706,12,,,
부산경남지역본부,김해GS,000000000013002112,외부 LEAK,이완/밀봉/고정 불량,밀봉/조임 작업,6667,43,F,100000,0.43676901179911054,0.4084643072464884,0.46469940330586823,0.5632309882008895,0.5353005966941318,0.5915356927535116,,,,0.000003617979606671989,0.000008283508007514183,내부 LEAK,7.32484076433121,0.0000006067537712510372,46,,,
부산경남지역본부,김해GS,000000000013002112,,,,82008,*,C,,,,,,,,,,,,,변형/변색/부식 ,0.6369426751592356,0.00000005276119750009019,4,,,
부산경남지역본부,진영GS,000000000013002114,,,,50064,*,C,,,,,,,,,,,,,설치불량/미설치 ,0.47770700636942676,0.00000003957089812506765,3,,,
부산경남지역본부,진영GS,000000000013002115,,,,57480,*,C,,,,,,,,,,,,,오동작/계기불량/작동불량,30.095541401273884,0.0000024929665818792616,189,,,
부산경남지역본부,정관GS,000000000013002129,,,,22344,*,C,,,,,,,,,,,,,외부 LEAK,32.32484076433121,0.000002677630773129578,203,,,
대구경북지역본부,관음GS,000000000013002135,외부 LEAK,이물질 ,분해점검,5375,4,F,,,,,,,,,,,,,이물질/오염,3.9808917197452227,0.0000003297574843755637,25,,,
