플랜트,위치,설비,고장 모드,고장 원인,고장 조치사항,작동시간,보수시간,상태플래그
평택기지본부,1공장 공기압축설비,000000000012101068,,,,12744,,C
평택기지본부,1공장 2차펌프,000000000012101167,,,,63936,,C
평택기지본부,공통 감압설비,000000000012101169,외부 LEAK,이완/밀봉/고정 불량,밀봉/조임 작업,6690,162,F
평택기지본부,공통 감압설비,000000000012101169,외부 LEAK,부품/자재 불량,부품/자재 교체,22023,2057,F
평택기지본부,공통 감압설비,000000000012101169,,,,69600,,C
평택기지본부,공통 감압설비,000000000012101170,외부 LEAK,노후/장기사용,부품/자재 교체,6854,378,F
평택기지본부,공통 감압설비,000000000012101170,,,,14760,,C
평택기지본부,2공장 2차펌프,000000000012101527,,,,81792,,C
평택기지본부,공통 소각설비,000000000012101545,,,,63000,,C
평택기지본부,2공장 SMV,000000000012102064,,,,66024,,C
평택기지본부,저장부문 1탱크,000000000012102627,,,,86160,,C
평택기지본부,저장부문 3탱크,000000000012102839,,,,78192,,C
평택기지본부,저장부문 9탱크,000000000012103407,,,,87144,,C
평택기지본부,저장부문 10탱크,000000000012103462,,,,17280,,C
평택기지본부,2공장 SMV,000000000012104937,,,,18600,,C
평택기지본부,공통 계량설비,000000000012105139,외부 LEAK,H/W 오류,분해점검,2462,6162,F
평택기지본부,공통 계량설비,000000000012105139,,,,35832,,C
평택기지본부,공통 계량설비,000000000012105141,,,,93720,,C
평택기지본부,공통 계량설비,000000000012105196,,,,96585,,C
평택기지본부,공통 계량설비,000000000012105535,,,,13704,,C
평택기지본부,공통 계량설비,000000000012105540,,,,97788,,C
평택기지본부,공통 계량설비,000000000012105547,,,,68448,,C
평택기지본부,공통 소각설비,000000000012106848,,,,53760,,C
평택기지본부,2공장 2차펌프,000000000012106874,,,,84936,,C
평택기지본부,2공장 SMV,000000000012106913,,,,48264,,C
평택기지본부,2공장 SMV,000000000012106920,오동작/계기불량/작동불량,직접입력,직접입력,782,407,F
평택기지본부,2공장 SMV,000000000012106920,,,,81864,,C
평택기지본부,공통 계량설비,000000000012106931,균열/파손/소손/절단,외부충격/동식물 ,재설치 ,741,,F
평택기지본부,공통 계량설비,000000000012106931,전송/통신 불량,부품/자재 불량,부품/자재 교체,36805,283,F
평택기지본부,공통 계량설비,000000000012106931,,,,58992,,C
평택기지본부,공통 계량설비,000000000012106958,오동작/계기불량/작동불량,직접입력,직접입력,78857,3870,F
평택기지본부,공통 계량설비,000000000012106958,오동작/계기불량/작동불량,이완/밀봉/고정 불량,밀봉/조임 작업,10351,414,F
평택기지본부,공통 계량설비,000000000012106958,,,,3168,,C
평택기지본부,공통 계량설비,000000000012106960,외부 LEAK,노후/장기사용,부품/자재 교체,82455,282,F
평택기지본부,공통 계량설비,000000000012106960,,,,4632,,C
평택기지본부,공통 감압설비,000000000012106970,고착 (Stick),장기미사용 ,교정/조정/재설정 작업,61837,140,F
평택기지본부,공통 감압설비,000000000012106970,,,,24096,,C
평택기지본부,공통 감압설비,000000000012106971,오동작/계기불량/작동불량,이완/밀봉/고정 불량,교정/조정/재설정 작업,26161,4910,F
평택기지본부,공통 감압설비,000000000012106971,,,,69024,,C
평택기지본부,공통 감압설비,000000000012106972,오동작/계기불량/작동불량,이물질 ,직접입력,4463,1818,F
평택기지본부,공통 감압설비,000000000012106972,오동작/계기불량/작동불량,직접입력,직접입력,10401,341,F
평택기지본부,공통 감압설비,000000000012106972,오동작/계기불량/작동불량,노후/장기사용,보강/개조/추가설치,17343,1603,F
평택기지본부,공통 감압설비,000000000012106972,고착 (Stick),,,9694,,F
평택기지본부,공통 감압설비,000000000012106972,오동작/계기불량/작동불량,부품/자재 불량,분해점검,707,437,F
평택기지본부,공통 감압설비,000000000012106972,,,,33144,,C
평택기지본부,공통 감압설비,000000000012106973,오동작/계기불량/작동불량,직접입력,교정/조정/재설정 작업,10363,830,F
평택기지본부,공통 감압설비,000000000012106973,오동작/계기불량/작동불량,직접입력,직접입력,1367,2193,F
평택기지본부,공통 감압설비,000000000012106973,이완/풀림/탈락,노후/장기사용,밀봉/조임 작업,39008,20,F
평택기지본부,공통 감압설비,000000000012106973,오동작/계기불량/작동불량,장기미사용 ,교정/조정/재설정 작업,8869,308,F
평택기지본부,공통 감압설비,000000000012106973,,,,24096,,C
평택기지본부,공통 감압설비,000000000012106975,,,,69936,,C
평택기지본부,공통 감압설비,000000000012106976,,,,66024,,C
평택기지본부,공통 감압설비,000000000012106981,오동작/계기불량/작동불량,노후/장기사용,부품/자재 교체,69546,399,F
평택기지본부,공통 감압설비,000000000012106981,,,,23664,,C
평택기지본부,공통 감압설비,000000000012106982,외부 LEAK,직접입력,직접입력,21158,122,F
평택기지본부,공통 감압설비,000000000012106982,,,,70224,,C
평택기지본부,공통 감압설비,000000000012106983,오동작/계기불량/작동불량,부품/자재 불량,부품/자재 교체,34670,98,F
평택기지본부,공통 감압설비,000000000012106983,,,,46512,,C
평택기지본부,2부두,000000000012107572,,,,30624,,C
평택기지본부,2부두,000000000012107573,균열/파손/소손/절단,이완/밀봉/고정 불량,부품/자재 교체,8125,523,F
평택기지본부,2부두,000000000012107573,,,,38952,,C
평택기지본부,공통 계량설비,000000000012107585,,,,96544,,C
평택기지본부,공통 계량설비,000000000012107586,,,,90144,,C
평택기지본부,1공장 BOG 압축기,000000000012108497,,,,13704,,C
평택기지본부,공통 계량설비,000000000012109092,,,,92328,,C
평택기지본부,공통 방산설비,000000000012109220,오동작/계기불량/작동불량,부품/자재 불량,부품/자재 교체,32678,866,F
평택기지본부,공통 방산설비,000000000012109220,,,,12240,,C
평택기지본부,2공장 2차펌프,000000000012109407,,,,94824,,C
평택기지본부,저장부문 4탱크,000000000012109851,,,,41760,,C
평택기지본부,공통 소각설비,000000000012110070,,,,98004,,C
평택기지본부,1공장 ORV,000000000012110374,,,,98717,,C
평택기지본부,1공장 ORV,000000000012110375,,,,38424,,C
평택기지본부,1공장 ORV,000000000012110392,,,,67824,,C
평택기지본부,1공장 ORV,000000000012110395,,,,68952,,C
평택기지본부,1공장 SMV,000000000012110449,,,,93864,,C
평택기지본부,1공장 ORV,000000000012110477,,,,33240,,C
평택기지본부,1공장 ORV,000000000012110484,,,,20592,,C
평택기지본부,1공장 ORV,000000000012110489,,,,92832,,C
평택기지본부,1공장 공기압축설비,000000000012111245,,,,47688,,C
평택기지본부,1공장 공기압축설비,000000000012111278,,,,45072,,C
평택기지본부,1공장 공기압축설비,000000000012111292,,,,38424,,C
평택기지본부,2부두,000000000012111575,,,,88800,,C
평택기지본부,1공장 2차펌프,000000000012111578,,,,97163,,C
평택기지본부,1공장 2차펌프,000000000012111582,,,,10464,,C
평택기지본부,1공장 2차펌프,000000000012111584,,,,66648,,C
평택기지본부,1공장 2차펌프,000000000012111588,오동작/계기불량/작동불량,직접입력,밀봉/조임 작업,218,,F
평택기지본부,1공장 2차펌프,000000000012111588,오동작/계기불량/작동불량,H/W 오류,부품/자재 교체,16783,2207,F
평택기지본부,1공장 2차펌프,000000000012111588,,,,82104,,C
평택기지본부,2공장 1차펌프,000000000012111606,오동작/계기불량/작동불량,설정값불량/점검불량,교정/조정/재설정 작업,27278,359,F
평택기지본부,2공장 1차펌프,000000000012111606,,,,56544,,C
